,cost_for_two,cuisines,locality,rating,rest_name,votes
4879,300,['Fast Food'],Sanjay Nagar,                                         3.8                                     ,American Burger                                     ,40
4880,800,"['Biryani', 'North Indian', 'Chinese']",Whitefield,                                         3.7                                     ,Alpha - House of Biryani & Tandoor                                     ,435
4881,"2,600","['Finger Food', 'North Indian']",Radisson Blu Atria,                                         4.0                                     ,The Whiskey Bar - Radisson Blu Atria                                     ,70
4882,350,"['North Indian', 'Biryani', 'Chinese']",BTM,                                         3.3                                     ,Salena And New Salena Food Center                                     ,10
4883,300,"['Desserts', 'Beverages']",Marathahalli,                                         3.0                                     ,MAD Belgian Waffles                                     ,16
4884,200,"['Biryani', 'Chinese']",Rajajinagar,                                         3.6                                     ,Shahi Chicken Biriyani                                     ,33
4885,150,['South Indian'],Basavanagudi,                                         4.1                                     ,South Thindies                                     ,459
4886,150,['South Indian'],Rajajinagar,                                         4.1                                     ,Shree Sai Dosa Center                                     ,70
4887,150,['North Indian'],Electronic City,                                         3.6                                     ,Reyniks Flavours                                     ,16
4888,700,"['Cafe', 'Healthy Food', 'Desserts']",HSR,                                         3.8                                     ,FeelGood@                                     ,132
4889,200,"['Street Food', 'Beverages', 'Sandwich', 'North Indian', 'Rolls', 'Desserts']",HBR Layout,                                         3.3                                     ,Mamiji's Snacks                                     ,10
4890,300,"['Biryani', 'Fast Food']",Indiranagar,                                         3.3                                     ,Monoroma's Gouheita Biriyani                                     ,12
4891,500,['Biryani'],RT Nagar,                                         3.4                                     ,Al Ghaffar Kitchen                                     ,9
4892,200,['North Indian'],BTM,                                         3.3                                     ,Sangeat                                     ,4
4893,200,"['Fast Food', 'Juices']",Residency Road,                                         3.2                                     ,Sai Juice Junction                                     ,5
4894,300,"['South Indian', 'Chinese']",Marathahalli,                                         3.1                                     ,Swad-Deshi Restaurant                                     ,13
4895,200,"['Biryani', 'Fast Food']",Rammurthy Nagar,                                         3.4                                     ,Annalakshmi Biryani Point                                     ,6
4896,300,"['South Indian', 'Biryani']",Frazer Town,                                         3.2                                     ,Marathi Biriyani House                                     ,5
4897,250,['Fast Food'],Frazer Town,                                         3.3                                     ,The Feast Fries                                     ,4
4898,600,"['Turkish', 'European', 'North Indian', 'Fast Food']",Jalahalli,                                         3.4                                     ,Grand Vezier Restaurant                                     ,12
4899,300,['South Indian'],Kengeri,                                         3.2                                     ,Simpallagondu Hotel                                     ,4
4900,300,['South Indian'],Kengeri,                                         3.2                                     ,Simpallagondu Hotel                                     ,4
4901,250,"['Lucknowi', 'Chinese']",Peenya,                                         3.2                                     ,Hotel Manvith                                     ,4
4902,400,"['North Indian', 'Chinese', 'Biryani']",KR Puram,                                         3.7                                     ,Happieats                                     ,27
4903,500,"['North Indian', 'Chinese', 'Biryani']",Koramangala 1st Block,                                         3.8                                     ,Biryani Mandra                                     ,70
4904,250,"['Ice Cream', 'Beverages', 'Fast Food']",Jayanagar,                                         3.7                                     ,Sandwich Mama's And Frozen Monster                                     ,58
4905,300,"['Biryani', 'Fast Food']",Nagawara,                                         3.2                                     ,Tasif Restaurant                                     ,9
4906,300,"['Bakery', 'Desserts']",Koramangala 6th Block,                                         3.3                                     ,Straight From The Heart                                     ,7
4907,300,"['North Indian', 'Street Food']",Sarjapur Road,                                         3.3                                     ,Sanyogita's                                     ,7
4908,500,"['Andhra', 'Biryani']",KR Puram,                                         3.2                                     ,Nellore Andhra Style Food                                     ,6
4909,600,"['Biryani', 'North Indian', 'Kebab']",Whitefield,                                         3.1                                     ,Kabab Ghar                                     ,4
4910,500,"['Chinese', 'Fast Food', 'North Indian']",Koramangala 4th Block,                                         3.5                                     ,Recipe - Taste of India                                     ,10
4911,150,"['Beverages', 'Ice Cream']",Frazer Town,                                         3.3                                     ,Lassi Time                                     ,4
4912,300,"['South Indian', 'Chinese']",Ejipura,                                         3.1                                     ,Shiva Sai Andhra Hotel                                     ,4
4913,250,"['North Indian', 'Rolls', 'Chinese', 'Biryani']",Jakkur,                                         3.4                                     ,Night Food Express                                     ,23
4914,400,"['North Indian', 'Chinese']",Nagawara,                                         3.2                                     ,Al Zaiqa                                     ,4
4915,500,"['North Indian', 'Bengali', 'Chinese', 'Seafood']",Thippasandra,                                         3.0                                     ,FTB Restaurant                                     ,25
4916,300,"['Andhra', 'North Indian']",JP Nagar,                                         3.2                                     ,Naidu Mess                                     ,4
4917,300,['Fast Food'],Hennur,                                         3.2                                     ,Cafe Bangalore                                     ,7
4918,400,"['South Indian', 'Biryani']",Sarjapur Road,                                         3.4                                     ,Chriz Cafe                                     ,10
4919,200,"['Bakery', 'Desserts']",Koramangala 1st Block,                                         3.2                                     ,House Of Wholewheat                                     ,6
4920,100,"['Ice Cream', 'Desserts']",Electronic City,                                         3.1                                     ,Real Bombay Chowpathi Kulfi                                     ,4
4921,300,['North Indian'],Brookefield,                                         3.1                                     ,Hara Bhara Box                                     ,4
4922,200,['North Indian'],Ulsoor,                                         3.7                                     ,Food Of Punjab                                     ,20
4923,200,"['Healthy Food', 'Juices']",City Market,                                         3.2                                     ,Falafal                                     ,6
4924,500,"['Biryani', 'North Indian', 'Kebab']",HSR,                                         3.1                                     ,Chef Genie                                     ,7
4925,400,"['North Indian', 'Biryani']",Hennur,                                         3.4                                     ,Chef's Tree                                     ,8
4926,200,['South Indian'],Basavanagudi,                                         3.4                                     ,Sri Sai Cafe                                     ,11
4927,200,"['North Indian', 'Biryani']",Jalahalli,                                         3.5                                     ,Sanoos Chicken Kebab Centre                                     ,19
4928,700,"['Biryani', 'North Indian']",Kalyan Nagar,                                         2.9                                     ,Sultan's Biryani                                     ,39
4929,300,['South Indian'],Banashankari,                                         3.2                                     ,Ruchi Suchi Fine Dine Restaurant                                     ,4
4930,300,"['Chinese', 'Beverages']",Frazer Town,                                         3.4                                     ,China Hut                                     ,8
4931,400,['Biryani'],Yelahanka,                                         3.2                                     ,Halli Mane Donne Biryani                                     ,4
4932,400,"['North Indian', 'Chinese', 'Rolls']",Indiranagar,                                         3.2                                     ,Moodswings                                     ,8
4933,200,['Desserts'],JP Nagar,                                         3.3                                     ,SR Choco Station                                     ,7
4934,400,"['South Indian', 'Fast Food']",Rajarajeshwari Nagar,                                         3.2                                     ,Akshay Hotel Gowdru Mane Mudde Oota                                     ,4
4935,300,"['Chinese', 'Fast Food']",Whitefield,                                         2.8                                     ,Foodie                                     ,34
4936,150,"['Seafood', 'North Indian']",Yelahanka,                                         3.2                                     ,S2's Magic Kitchen                                     ,4
4937,100,['Paan'],Indiranagar,                                         3.3                                     ,Maghai Paan Center                                     ,8
4938,400,['North Indian'],Thippasandra,                                         2.8                                     ,Desi Tadka Khana                                     ,6
4939,200,['South Indian'],Basavanagudi,                                         3.3                                     ,Fresh Coffee                                     ,17
4940,400,"['North Indian', 'Biryani', 'Chinese']",Malleshwaram,                                         3.2                                     ,AL FAH Restaurant                                     ,4
4941,400,['Cafe'],BTM,                                         3.2                                     ,Smack Cafe                                     ,4
4942,200,"['Biryani', 'Kebab']",Sarjapur Road,                                         3.1                                     ,Badey Miyan Chote Miyan                                     ,4
4943,200,"['South Indian', 'Biryani', 'Kebab']",Vijay Nagar,                                         3.6                                     ,Amma's Biriyani Mane                                     ,24
4944,350,"['Ice Cream', 'Desserts', 'Beverages', 'Fast Food']",Yelahanka,                                         3.1                                     ,Robin Brown Ice Cream                                     ,4
4945,150,['South Indian'],Sahakara Nagar,                                         3.2                                     ,Friends Tent                                     ,4
4946,350,"['North Indian', 'South Indian', 'Chinese']",HSR,                                         3.4                                     ,The Modren Chef's                                     ,9
4947,600,['Chinese'],BTM,                                         3.6                                     ,China Tang                                     ,43
4948,400,"['Sandwich', 'Fast Food']",Indiranagar,                                         3.6                                     ,Picante                                     ,23
4949,450,"['Beverages', 'Fast Food', 'Chinese']",JP Nagar,                                         3.1                                     ,Ice Burg                                     ,5
4950,"1,100",['Finger Food'],Hotel Bangalore International,                                         3.1                                     ,Great Moments - Hotel Bangalore International                                     ,3
4951,400,"['Fast Food', 'Rolls', 'Beverages']",Electronic City,                                         3.1                                     ,The Quick Bites                                     ,6
4952,500,"['Arabian', 'North Indian', 'Chinese', 'Mughlai']",Sahakara Nagar,                                         3.2                                     ,Kabab Darbar                                     ,4
4953,300,"['North Indian', 'Chinese']",Kalyan Nagar,                                         3.1                                     ,Bismilla Kabab & Biryani Centre                                     ,4
4954,200,['North Indian'],New BEL Road,                                         3.8                                     ,G8 Punjabi Tadka                                     ,18
4955,100,['Street Food'],BTM,                                         3.2                                     ,The Chaat Shop                                     ,9
4956,300,"['North Indian', 'Continental']",Whitefield,                                         3.3                                     ,Wish Pot                                     ,8
4957,150,"['Beverages', 'Fast Food']",Yelahanka,                                         3.7                                     ,Lassi & More                                     ,16
4958,300,"['Desserts', 'Beverages']",Jayanagar,                                         3.6                                     ,Frozen Lake                                     ,14
4959,400,"['Cafe', 'Beverages']",Nagarbhavi,                                         3.3                                     ,Cafe Break                                     ,4
4960,300,"['Rolls', 'Arabian']",Frazer Town,                                         3.5                                     ,Raidan Oven                                     ,10
4961,250,"['South Indian', 'North Indian', 'Chinese']",Whitefield,                                         3.2                                     ,Star Restaurant                                     ,4
4962,300,['Sandwich'],Rajarajeshwari Nagar,                                         3.4                                     ,Sandwich Sisters                                     ,4
4963,400,['Desserts'],Hebbal,                                         3.6                                     ,Cafe De Gourmet                                     ,18
4964,600,"['Bakery', 'Desserts']",Domlur,                                         3.8                                     ,Fudgy Love Designer Cakes                                     ,20
4965,300,"['North Indian', 'South Indian']",Rajarajeshwari Nagar,                                         3.2                                     ,Hotel Village Vision                                     ,4
4966,400,"['Desserts', 'Belgian', 'Beverages', 'Bakery']",JP Nagar,                                         3.6                                     ,Waffle Wallah                                     ,12
4967,100,"['Street Food', 'North Indian']",Vijay Nagar,                                         3.7                                     ,Goloo Parothas & Chats Corner                                     ,112
4968,150,"['Mithai', 'Fast Food']",Rammurthy Nagar,                                         3.3                                     ,Jai Mataji Farshan & Sweets                                     ,8
4969,300,['Healthy Food'],HSR,                                         3.4                                     ,Puraathana Poushtika Aahaara                                     ,9
4970,400,['Pizza'],Basavanagudi,                                         3.1                                     ,Garage Pizza                                     ,4
4971,250,['South Indian'],Bommanahalli,                                         3.2                                     ,Jai Maruthi 99 Variety Dosa Corner                                     ,10
4972,350,['North Indian'],Sarjapur Road,                                         3.4                                     ,The Meal Story                                     ,7
4973,400,['Andhra'],HSR,                                         3.7                                     ,Curries'N' Fries                                     ,29
4974,100,['Biryani'],Electronic City,                                         3.2                                     ,MKA Ambur Hot Dum Biriyani                                     ,4
4975,200,"['North Indian', 'Chinese']",Kalyan Nagar,                                         3.2                                     ,Jwala Indian & Chinese Fast Food                                     ,4
4976,600,"['Cafe', 'Fast Food']",Richmond Road,                                         4.0                                     ,The Café @ Saanchi                                     ,52
4977,100,"['Juices', 'Beverages']",BTM,                                         3.4                                     ,Juice Truk                                     ,14
4978,300,"['Desserts', 'Mithai']",Basavanagudi,                                         3.4                                     ,Dezire Sugar Free Sweets & Cakes                                     ,15
4979,200,"['Street Food', 'Fast Food', 'North Indian']",Bannerghatta Road,                                         3.8                                     ,Chaat Junction                                     ,71
4980,400,"['Bakery', 'Fast Food']",Brigade Road,                                         3.6                                     ,All Saints Bakery                                     ,30
4981,550,"['North Indian', 'Chinese', 'Biryani']",HSR,                                         3.9                                     ,Cinnamon                                     ,451
