,cost_for_two,cuisines,locality,rating,rest_name,votes
5412,650,['North Indian'],Basavanagudi,                                         2.9                                     ,Punjab Di Mehek                                     ,22
5413,400,['North Indian'],Electronic City,                                         3.5                                     ,Pot Curry                                     ,43
5414,300,"['Mithai', 'Desserts']",Yeshwantpur,                                         3.4                                     ,Sweet Zone                                     ,10
5415,450,"['North Indian', 'Chinese', 'Bengali']",Marathahalli,                                         3.3                                     ,Royal Calcutta Restaurant                                     ,30
5416,400,['South Indian'],Banaswadi,                                         3.0                                     ,Udupi Gardenia                                     ,27
5417,"2,400",['Continental'],Sterlings Mac Hotel,                                         3.8                                     ,WAT Bar - Sterlings MAC Hotel                                     ,52
5418,550,"['North Indian', 'South Indian', 'Chinese']",Kanakapura Road,                                         3.7                                     ,Shree Manjunatha Bar And Restaurant                                     ,29
5419,250,['Bakery'],Shivajinagar,                                         3.7                                     ,Excelsior Bakery                                     ,19
5420,700,"['Cafe', 'Bakery', 'French', 'Sandwich', 'Coffee']",HBR Layout,                                         4.1                                     ,Coffee Mechanics                                     ,217
5421,250,"['South Indian', 'North Indian', 'Chinese']",Cunningham Road,                                         3.5                                     ,Sanman Veg                                     ,27
5422,500,"['North Indian', 'South Indian', 'Andhra']",Bellandur,                                         3.4                                     ,Atithi Family Bar & Restaurant                                     ,31
5423,350,"['North Indian', 'Kerala']",Whitefield,                                         3.8                                     ,Mothi Restaurant                                     ,91
5424,450,"['North Indian', 'Chinese']",Ejipura,                                         4.0                                     ,Little Kolkata                                     ,128
5425,400,"['North Indian', 'Chinese']",KR Puram,                                         3.7                                     ,Punjabi Charchay                                     ,40
5426,400,"['Chinese', 'North Indian']",Kanakapura Road,                                         2.9                                     ,Heavens Gate Dhaba                                     ,22
5427,300,"['Juices', 'Fast Food']",Bannerghatta Road,                                         4.0                                     ,Juice Land                                     ,176
5428,400,"['North Indian', 'Chinese', 'Arabian']",Old Airport Road,                                         3.2                                     ,Zawaa Foods                                     ,44
5429,100,['South Indian'],HSR,                                         3.8                                     ,Holige Mane                                     ,25
5430,250,"['Odia', 'Bengali', 'North Indian']",BTM,                                         3.6                                     ,Odia Dine                                     ,26
5431,250,"['Beverages', 'Healthy Food']",BTM,                                         3.5                                     ,Temperature Juice Bar                                     ,15
5432,800,"['North Indian', 'Chinese']",Whitefield,                                         3.5                                     ,Afoozoo - Ginger Hotel                                     ,41
5433,300,"['Andhra', 'Biryani']",Marathahalli,                                         3.2                                     ,Royal Andra Kitchen                                     ,37
5434,550,"['North Indian', 'Chinese']",Yeshwantpur,                                         2.9                                     ,Delight Fast Food & Restaurant                                     ,43
5435,300,['Kerala'],Yeshwantpur,                                         3.6                                     ,Joys Kuttanadu Restaurant                                     ,20
5436,300,['North Indian'],Koramangala 4th Block,                                         3.2                                     ,Pankaj Caterers                                     ,17
5437,700,"['Mexican', 'Continental', 'Italian', 'Chinese']",Koramangala 6th Block,                                         3.8                                     ,Ocean                                     ,221
5438,450,"['Lebanese', 'Mughlai', 'North Indian', 'Biryani']",Nagawara,                                         3.5                                     ,Sizzling Tandoor                                     ,37
5439,450,"['Lebanese', 'Mughlai', 'North Indian', 'Biryani']",Nagawara,                                         3.5                                     ,Sizzling Tandoor                                     ,37
5440,"1,000","['Cafe', 'Bakery', 'Coffee', 'Desserts']","Aloft Bengaluru Cessna Business Park, Bellandur",                                         2.9                                     ,Re:fuel- Aloft Bengaluru Cessna Business Park                                     ,12
5441,200,"['Mithai', 'Street Food']",Banashankari,                                         3.4                                     ,Parimala Sweets                                     ,15
5442,800,"['North Indian', 'Seafood', 'Chinese']",Basavanagudi,                                         3.5                                     ,South Point Pub                                     ,14
5443,"1,000","['Asian', 'Continental']",Basavanagudi,                                         3.7                                     ,B & B The Pub                                     ,42
5444,300,"['South Indian', 'North Indian']","ITPL Main Road, Whitefield",                                         3.6                                     ,Breakfast House                                     ,53
5445,700,"['Bengali', 'Seafood', 'North Indian', 'Biryani', 'Odia']",Marathahalli,                                         3.5                                     ,Nandighosha                                     ,586
5446,400,"['North Indian', 'Chinese']",Rajarajeshwari Nagar,                                         3.8                                     ,Bihari Mess                                     ,75
5447,300,['North Indian'],Marathahalli,                                         3.6                                     ,Gills Punjabi Khana                                     ,31
5448,400,"['Fast Food', 'Desserts']",Rammurthy Nagar,                                         4.1                                     ,Sarah's                                     ,105
5449,300,['Bakery'],Ulsoor,                                         3.8                                     ,The Cake House                                     ,35
5450,800,"['Continental', 'North Indian', 'Chinese', 'Bengali']",Kaggadasapura,                                         4.0                                     ,Hungree Belly                                     ,643
5451,500,"['Cafe', 'Tea']",International Airport,                                         3.9                                     ,Cafe Chai Garam Chai                                     ,34
5452,600,['North Indian'],"Eat Street, Koramangala 6th Block",                                         4.0                                     ,Mitran Da Junction                                     ,340
5453,300,"['Odia', 'Bengali']",Bellandur,                                         3.0                                     ,Bhaina Kitchen                                     ,8
5454,400,"['Fast Food', 'Arabian']",HSR,                                         3.8                                     ,Kaka-T-Cafe                                     ,64
5455,"1,600","['North Indian', 'Continental', 'Chinese', 'Finger Food', 'Salad']",Indiranagar,                                         3.9                                     ,Puma Shuffle                                     ,30
5456,400,"['North Indian', 'Chinese', 'Arabian', 'Biryani']",Kengeri,                                         3.5                                     ,Food Palace                                     ,128
5457,750,"['Chinese', 'Momos']",Koramangala 5th Block,                                         3.9                                     ,Popsies                                     ,842
5458,"1,200",['Chinese'],WelcomHotel,                                         4.3                                     ,Mahjong Room - WelcomHotel Bengaluru                                     ,206
5459,600,"['South Indian', 'North Indian', 'Chinese']",Frazer Town,                                         3.0                                     ,Mothers Recipe Restaurant                                     ,11
5460,150,['South Indian'],Seshadripuram,                                         4.0                                     ,Amma Brahmmins Cafe                                     ,36
5461,100,['South Indian'],City Market,                                         3.6                                     ,Sri Raghavendra Prasanna Coffee Club                                     ,11
5462,700,['Cafe'],Kalyan Nagar,                                         3.9                                     ,Artville Cafe                                     ,97
5463,700,"['North Indian', 'Chinese', 'Mughlai']",Basavanagudi,                                         3.9                                     ,Pramukh Family Restaurant                                     ,135
5464,300,"['South Indian', 'North Indian', 'Chinese']",Kalyan Nagar,                                         3.9                                     ,Srinidhi Veg Food Court                                     ,114
5465,500,"['Chinese', 'Fast Food']",New BEL Road,                                         3.7                                     ,Smokey Garage Cafe                                     ,27
5466,"1,200","['Finger Food', 'Seafood', 'Chinese', 'North Indian']",Yeshwantpur,                                         4.1                                     ,Hatch                                     ,222
5467,400,['South Indian'],Marathahalli,                                         3.5                                     ,Basaveshwara Khanavali                                     ,7
5468,350,['Biryani'],Jayanagar,                                         3.6                                     ,Anand Donne Biriyani                                     ,63
5469,400,"['Biryani', 'Kebab']",Nagawara,                                         3.3                                     ,S M Biryani Mall                                     ,12
5470,300,"['South Indian', 'Chinese']",Rajajinagar,                                         3.6                                     ,Annappa's Naati Mane                                     ,80
5471,"2,000","['Asian', 'Continental', 'North Indian']",WelcomHotel,                                         4.0                                     ,WelcomCafe Jacaranda - WelcomHotel Bengaluru                                     ,71
5472,350,"['Fast Food', 'North Indian']",Sarjapur Road,                                         3.4                                     ,Husband's Kitchen                                     ,128
5473,800,"['North Indian', 'Chinese']",Basavanagudi,                                         3.8                                     ,Masala Tadka                                     ,110
5474,600,"['Chinese', 'Thai']",JP Nagar,                                         3.9                                     ,The Jade Kitchen                                     ,148
5475,300,"['South Indian', 'North Indian', 'Chinese']",Basaveshwara Nagar,                                         3.9                                     ,Ayodhya Sagar                                     ,99
5476,300,"['Burger', 'Fast Food']",Wilson Garden,                                         3.9                                     ,Burger Bites                                     ,63
5477,300,"['Mithai', 'Street Food', 'Chinese', 'North Indian']",Electronic City,                                         3.3                                     ,Mr. Meetharam                                     ,33
5478,350,['Cafe'],Hennur,                                         3.7                                     ,Soul Valley Cafe                                     ,83
5479,600,"['Chinese', 'North Indian']",Sadashiv Nagar,                                         3.6                                     ,Nikki's                                     ,47
5480,650,"['Cafe', 'Continental', 'Chinese', 'North Indian', 'Beverages']",Banashankari,                                         3.5                                     ,92 Cafe Colony                                     ,11
5481,300,"['South Indian', 'Chinese', 'North Indian']",BTM,                                         3.7                                     ,Sagar Fast Food                                     ,79
5482,500,"['North Indian', 'Chinese']",BTM,                                         3.7                                     ,New Kabab Plaza                                     ,163
5483,500,"['North Indian', 'Chinese']",BTM,                                         3.7                                     ,New Kabab Plaza                                     ,163
5484,350,"['South Indian', 'Chinese', 'North Indian', 'Street Food']",Thippasandra,                                         3.6                                     ,Shri Krishna Bhavan                                     ,111
5485,500,['Bakery'],Koramangala 7th Block,                                         3.5                                     ,Cake Yard                                     ,37
5486,200,"['Fast Food', 'Street Food', 'Desserts', 'Beverages']",HSR,                                         3.9                                     ,SNAXBOX                                     ,31
5487,200,"['Fast Food', 'Chinese', 'Lebanese']",Indiranagar,                                         3.8                                     ,Fullyfilled                                     ,54
5488,350,['Bakery'],JP Nagar,                                         3.4                                     ,Cakes And Crumbs                                     ,10
5489,300,"['Rolls', 'Fast Food']",JP Nagar,                                         4.1                                     ,Kapoor's Punjabi Roll & Sizzlers                                     ,34
5490,150,['Bakery'],Jayanagar,                                         3.4                                     ,Healthy Bakes 'n' Brew                                     ,14
5491,800,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']",Infantry Road,                                         3.4                                     ,Cafe Monarch Luxur                                     ,27
5492,250,['South Indian'],Frazer Town,                                         3.5                                     ,Siridhanya Upahara Darshini                                     ,8
5493,600,"['North Indian', 'Chinese']",Banashankari,                                         3.8                                     ,J Spice                                     ,60
5494,100,['South Indian'],Brigade Road,                                         3.5                                     ,Brahmin's Cafe                                     ,29
5495,350,"['North Indian', 'South Indian', 'Chinese', 'Street Food', 'Beverages']",HBR Layout,                                         3.7                                     ,New Udupi Grand                                     ,15
5496,300,"['South Indian', 'North Indian', 'Chinese']",Bannerghatta Road,                                         3.9                                     ,Upahara Bhavan                                     ,101
5497,"2,000","['Continental', 'Seafood']",Fortune Select JP Cosmos Hotel,                                         3.4                                     ,Aqua Grill                                     ,30
5498,550,"['South Indian', 'Chinese']",Bommasandra,                                         3.0                                     ,E Foods Regalia                                     ,17
5499,"1,000","['Chinese', 'North Indian', 'Pizza']",Brigade Road,                                         3.9                                     ,70 Brigade - Iris Hotel                                     ,108
5500,550,"['North Indian', 'Chinese', 'Rajasthani']",Rajarajeshwari Nagar,                                         3.7                                     ,Punjabi Masala                                     ,192
5501,400,"['Bengali', 'Continental']",Indiranagar,                                         3.9                                     ,Kasol Cafe                                     ,85
5502,400,"['North Indian', 'South Indian', 'Chinese', 'Beverages']",Shanti Nagar,                                         3.8                                     ,Foody's                                     ,173
5503,300,"['Bakery', 'Desserts']",Bannerghatta Road,                                         3.7                                     ,Cake-O-Mania                                     ,18
5504,300,"['South Indian', 'Rolls']",Richmond Road,                                         3.5                                     ,New Select Hotel                                     ,17
5505,400,"['North Indian', 'Chinese', 'Rolls', 'Biryani']",Marathahalli,                                         3.4                                     ,Jhanavi Restaurant                                     ,50
5506,450,"['Kerala', 'Biryani']",Whitefield,                                         3.5                                     ,Kerala Restaurant                                     ,70
5507,"2,500","['Continental', 'South Indian']",ITC Gardenia,                                         3.8                                     ,Highland Nectar - ITC Gardenia                                     ,43
5508,600,"['North Indian', 'Hyderabadi', 'Andhra', 'Chinese']",Whitefield,                                         2.6                                     ,The Hyderabad Chefs                                     ,21
5509,500,"['Salad', 'Healthy Food', 'Sandwich', 'Juices', 'Burger', 'Desserts', 'Pizza']",Basavanagudi,                                         3.9                                     ,Energy Addaa                                     ,103
5510,"1,000","['Continental', 'Chinese', 'North Indian', 'South Indian']",Wilson Garden,                                         3.9                                     ,Tree Top                                     ,103
5511,300,"['Fast Food', 'Beverages']",Electronic City,                                         3.9                                     ,Chivi's The Kitchen                                     ,46
5512,450,"['Seafood', 'Mangalorean']",Yeshwantpur,                                         3.7                                     ,Karavali Deluxe                                     ,39
5513,450,"['Seafood', 'Mangalorean']",Yeshwantpur,                                         3.7                                     ,Karavali Deluxe                                     ,39
5514,"1,000",['North Indian'],Electronic City,                                         3.4                                     ,Prestige Estate Club and Resorts                                     ,11
5515,500,['Fast Food'],Koramangala 1st Block,                                         3.7                                     ,Dhadoom                                     ,21
5516,800,"['North Indian', 'Beverages']",Marathahalli,                                         3.4                                     ,Lol Pub                                     ,12
5517,800,"['North Indian', 'Maharashtrian', 'Chinese']",Rajajinagar,                                         3.3                                     ,Westin - Vyasa Paradise                                     ,11
5518,400,"['North Indian', 'Chinese', 'Fast Food']",Sarjapur Road,                                         3.4                                     ,Fill A Belly Restaurant                                     ,35
5519,150,['Desserts'],Indiranagar,                                         3.1                                     ,The Donut Baker                                     ,6
5520,900,"['North Indian', 'South Indian', 'Thai', 'Chinese', 'Continental']",Koramangala 6th Block,                                         3.8                                     ,Embers - Nandhana Grand Hotel                                     ,53
5521,"1,900","['North Indian', 'Chinese']","Brigade Garden, Brigade Road",                                         2.8                                     ,Flame Pub & Restaurant - Brigade Garden                                     ,30
5522,250,"['Bakery', 'Desserts']",Basavanagudi,                                         3.7                                     ,The Bakery World                                     ,37
5523,700,"['North Indian', 'Chinese', 'Pizza', 'Beverages', 'Sandwich', 'Burger']",Indiranagar,                                         3.6                                     ,Cafe Ritzz                                     ,58
5524,500,"['Chinese', 'North Indian', 'South Indian']",Nagarbhavi,                                         3.3                                     ,Eat & Burp                                     ,8
5525,200,['Rolls'],Frazer Town,                                         4.0                                     ,Shahi Kabab                                     ,70
5526,800,['North Indian'],JP Nagar,                                         3.8                                     ,Melting Pot at Woodrose                                     ,25
5527,500,"['Chinese', 'North Indian', 'South Indian']",International Airport,                                         3.0                                     ,Sri Krishna Garden                                     ,33
5528,500,"['Andhra', 'North Indian', 'Chinese']",BTM,                                         3.6                                     ,Mayur                                     ,28
5529,600,"['North Indian', 'Chinese', 'Mughlai']",Mysore Road,                                         2.6                                     ,Thirumala Green Palace                                     ,53
5530,250,"['Bakery', 'Beverages', 'Fast Food']",Yelahanka,                                         3.7                                     ,I Cake                                     ,39
5531,500,"['North Indian', 'Chinese']",Jeevan Bhima Nagar,                                         4.0                                     ,Bob's Restaurant                                     ,341
5532,400,"['North Indian', 'Chinese', 'South Indian']",Rajajinagar,                                         3.4                                     ,Nandini Swadista Loka                                     ,15
5533,500,['Bakery'],HSR,                                         3.7                                     ,Kwality Cakes N Bakes                                     ,107
5534,600,"['North Indian', 'Chinese', 'Kebab', 'Seafood']",Shivajinagar,                                         2.8                                     ,The Grand Taj                                     ,44
5535,200,"['South Indian', 'Chinese']",Cunningham Road,                                         3.4                                     ,Samrudh Veg                                     ,15
5536,550,"['North Indian', 'Chinese', 'Mangalorean', 'Seafood']",Rajarajeshwari Nagar,                                         2.9                                     ,Green Park Family Garden Restaurant                                     ,13
5537,300,"['South Indian', 'North Indian', 'Chinese', 'Street Food']",Kammanahalli,                                         3.8                                     ,Sannidhi Grand                                     ,60
5538,300,"['Desserts', 'Beverages', 'Ice Cream']","Phoenix Market City Mall, Whitefield",                                         3.9                                     ,Millies Cookies                                     ,31
5539,350,['Biryani'],RT Nagar,                                         3.9                                     ,Huliyappa's Donne Biryani                                     ,277
5540,300,"['South Indian', 'North Indian', 'Chinese', 'Street Food', 'Ice Cream']",Koramangala 1st Block,                                         3.9                                     ,Udupi Upahara                                     ,52
5541,"1,000","['Mangalorean', 'Seafood', 'South Indian']",Jayanagar,                                         3.7                                     ,Bella                                     ,170
5542,500,"['North Indian', 'Chinese', 'Mughlai', 'Biryani']",Kammanahalli,                                         3.7                                     ,Wild Range Restaurant                                     ,63
5543,500,"['North Indian', 'Chinese', 'Mughlai', 'Biryani']",Kammanahalli,                                         3.7                                     ,Wild Range Restaurant                                     ,63
5544,150,['South Indian'],Commercial Street,                                         4.0                                     ,Shree Idly Corner                                     ,23
5545,200,"['Fast Food', 'Beverages']",Basavanagudi,                                         3.8                                     ,Etc Foods                                     ,26
5546,"2,500","['Lebanese', 'Mediterranean', 'Italian']",Taj Yeshwantpur,                                         4.0                                     ,Azure - Taj Yeshwantpur                                     ,173
5547,100,['Street Food'],Sahakara Nagar,                                         3.2                                     ,Bangarpet Pani Puri                                     ,22
5548,250,"['South Indian', 'North Indian', 'Chinese']",International Airport,                                         3.4                                     ,Atithi Veg                                     ,10
5549,800,"['North Indian', 'Andhra']",The Fern Residency,                                         3.7                                     ,Tingling Spice -  The Fern Residency                                     ,105
5550,400,"['South Indian', 'Biryani']",Vijay Nagar,                                         3.0                                     ,Jai Bhavani Savaji Hotel                                     ,16
5551,300,"['South Indian', 'North Indian', 'Chinese']",Rammurthy Nagar,                                         3.6                                     ,Hyderabad Biryani Zone                                     ,21
5552,200,"['Street Food', 'Beverages']",Old Airport Road,                                         3.8                                     ,True South                                     ,17
5553,550,"['Andhra', 'Chinese', 'North Indian']",Peenya,                                         3.6                                     ,Dwarka                                     ,49
5554,"1,500",['Finger Food'],Brigade Road,                                         3.9                                     ,Cozy                                     ,29
5555,400,"['Fast Food', 'South Indian', 'North Indian', 'Chinese', 'Beverages']",Kanakapura Road,                                         3.3                                     ,Bhansali Kitchen                                     ,10
5556,300,"['Andhra', 'Biryani', 'North Indian', 'Chinese']","ITPL Main Road, Whitefield",                                         3.6                                     ,The Andhra Bhojanam                                     ,26
5557,250,"['North Indian', 'South Indian', 'Chinese']",HSR,                                         3.4                                     ,Uncle's Cuisine                                     ,9
5558,250,"['North Indian', 'Street Food']",Malleshwaram,                                         4.2                                     ,Mumbai Bistro                                     ,537
5559,600,"['Cafe', 'Continental', 'Italian', 'Mexican', 'Sandwich', 'Beverages']",Rajarajeshwari Nagar,                                         3.6                                     ,The Hangout                                     ,542
5560,250,"['Street Food', 'Fast Food']",Jeevan Bhima Nagar,                                         3.9                                     ,Spicy Corner                                     ,218
5561,"1,000","['Continental', 'Italian', 'Chinese']",Shanti Nagar,                                         3.7                                     ,Tiffanys                                     ,56
5562,600,"['Cafe', 'North Indian']",Kalyan Nagar,                                         4.1                                     ,Bunty's Belly                                     ,105
5563,600,"['Burger', 'American']",HSR,                                         3.5                                     ,Meisterwurst                                     ,8
5564,500,"['South Indian', 'Biryani']",Jakkur,                                         3.6                                     ,Naati Ruchi                                     ,36
5565,400,"['North Indian', 'Mughlai', 'Lucknowi', 'Chinese']",Koramangala 1st Block,                                         3.4                                     ,Lucknowiz                                     ,330
5566,400,['North Indian'],Electronic City,                                         3.4                                     ,Food 4 U                                     ,44
5567,"1,500",['Continental'],Four Points by Sheraton Bengaluru Whitefield,                                         3.6                                     ,Best Brews - Four Points by Sheraton Bengaluru...                                     ,30
5568,"2,000","['Finger Food', 'North Indian']","Aloft Bengaluru Cessna Business Park, Bellandur",                                         3.9                                     ,W XYZ Bar - Aloft Bengaluru Cessna Business Park                                     ,50
5569,150,['South Indian'],Malleshwaram,                                         4.0                                     ,The Fast Food                                     ,90
5570,400,"['North Indian', 'Biryani', 'Chinese', 'South Indian']",Nagarbhavi,                                         3.7                                     ,Restaurant Ashwa                                     ,499
5571,"2,000","['Finger Food', 'Mediterranean', 'North Indian']",The Pride Hotel,                                         3.9                                     ,Fuel Resto Bar                                     ,42
5572,500,"['Chinese', 'North Indian', 'Seafood', 'Mangalorean']",Banaswadi,                                         3.6                                     ,Despiwich Dragon's Kitchen                                     ,83
5573,750,['Fast Food'],Sarjapur Road,                                         3.5                                     ,American Bites                                     ,40
5574,200,"['Biryani', 'South Indian']",Yelahanka,                                         3.8                                     ,Archanas Biryani                                     ,88
5575,400,"['South Indian', 'North Indian', 'Chinese']",Basavanagudi,                                         3.6                                     ,Udupi Grand                                     ,89
5576,550,"['Andhra', 'Biryani', 'Chinese']",Bellandur,                                         3.5                                     ,Guntur Andhra Mess                                     ,18
5577,300,"['Chettinad', 'South Indian', 'Biryani']",Indiranagar,                                         3.8                                     ,Kadai Crust - Amma Veetu Samayal                                     ,269
5578,100,"['Mithai', 'Street Food']",Jayanagar,                                         3.8                                     ,Sri Annapoorna Bajji Center                                     ,22
5579,300,['North Indian'],Domlur,                                         3.7                                     ,Matter Of Taste                                     ,25
5580,250,"['Fast Food', 'Rolls', 'Chinese']",Koramangala 4th Block,                                         2.9                                     ,Hot & Cold Hut                                     ,53
5581,300,['North Indian'],Electronic City,                                         3.9                                     ,Chokha Zaika                                     ,57
5582,300,"['Mithai', 'Street Food']",Marathahalli,                                         3.7                                     ,Sri Rajalakshmi Sweets                                     ,32
5583,400,"['Chinese', 'North Indian']",Mysore Road,                                         3.1                                     ,7 Hills Garden Restaurant                                     ,11
5584,300,['South Indian'],Banashankari,                                         3.6                                     ,Madhappa Hindu Military Hotel                                     ,21
5585,500,"['North Indian', 'Chinese']",BTM,                                         3.6                                     ,Al-Madina                                     ,30
5586,500,"['Bakery', 'Desserts']",Whitefield,                                         3.0                                     ,Online Cake and Flower.com                                     ,12
5587,350,"['Continental', 'Italian', 'BBQ']","Orion Mall, Malleshwaram",                                         3.0                                     ,The Sizzler Cafe                                     ,4
5588,350,['Bakery'],Sarjapur Road,                                         3.6                                     ,Lluvia Bakery                                     ,19
5589,750,"['Andhra', 'North Indian', 'Chinese', 'Mangalorean']",Sadashiv Nagar,                                         2.5                                     ,Swaadishta Restaurant                                     ,68
5590,450,"['Andhra', 'Chinese', 'North Indian']",Electronic City,                                         2.9                                     ,Samrudhi                                     ,22
5591,500,['Kerala'],Bommanahalli,                                         3.8                                     ,The Village Hotel                                     ,29
5592,300,"['North Indian', 'Chinese', 'Fast Food', 'Mughlai']",Rajarajeshwari Nagar,                                         3.4                                     ,Spice Up! Restaurant                                     ,8
5593,300,['North Indian'],Koramangala 7th Block,                                         3.5                                     ,Bhandary's Kitchen                                     ,16
5594,200,"['Bakery', 'Desserts']",Basavanagudi,                                         3.9                                     ,Bakers Day                                     ,57
5595,300,"['Bakery', 'Desserts']",Bannerghatta Road,                                         3.5                                     ,Kanti Bakes & Flakes                                     ,5
5596,250,"['South Indian', 'Chinese', 'Kerala']",Thippasandra,                                         3.8                                     ,Chai Darbaar                                     ,39
5597,200,"['Maharashtrian', 'Fast Food', 'Street Food', 'Sandwich']",Jayanagar,                                         4.0                                     ,Bombay Talkies                                     ,54
5598,850,"['Biryani', 'North Indian', 'Mughlai']",Marathahalli,                                         3.4                                     ,Golkonda Chimney                                     ,1876
5599,300,"['Momos', 'Chinese', 'Rolls']",RT Nagar,                                         4.0                                     ,Momo Shop                                     ,138
5600,200,"['North Indian', 'Street Food']",Kammanahalli,                                         4.0                                     ,Urban Chulha                                     ,18
5601,300,"['South Indian', 'Biryani']",Frazer Town,                                         3.6                                     ,Karnataka Biriyani Paradise                                     ,17
5602,500,"['Desserts', 'Fast Food', 'Beverages']",Electronic City,                                         3.9                                     ,Donut Cafe                                     ,181
5603,"1,000",['South Indian'],Hotel 37th Crescent Seshadripuram,                                         3.5                                     ,Aromas Of South                                     ,50
5604,650,"['North Indian', 'Chinese']","The Sai Leela Hotel, Yelahanka",                                         3.4                                     ,Satgun - The Sai Leela Hotel                                     ,64
5605,"1,000","['Chinese', 'North Indian']",Banashankari,                                         2.9                                     ,K27 - The Pub                                     ,30
5606,600,"['Fast Food', 'Chinese', 'North Indian', 'Kerala']",Jalahalli,                                         3.6                                     ,Cafe Mia                                     ,17
5607,500,"['South Indian', 'North Indian', 'Chinese']",City Market,                                         3.6                                     ,Hotel Nisarga Grand                                     ,52
5608,300,"['North Indian', 'Chinese']",Nagarbhavi,                                         2.9                                     ,Atithi Sarkar Mess                                     ,39
5609,450,"['Pizza', 'Fast Food']",JP Nagar,                                         3.9                                     ,Cafe Zuppa                                     ,79
5610,500,"['Fast Food', 'Ice Cream', 'Beverages']",Banashankari,                                         3.8                                     ,Potato Bae                                     ,41
5611,400,"['Chinese', 'North Indian', 'South Indian']",Basaveshwara Nagar,                                         3.4                                     ,Hotel Aditi Grand                                     ,5
5612,250,"['South Indian', 'North Indian']",Koramangala 4th Block,                                         3.5                                     ,Sri Vishnu Sagar                                     ,56
5613,200,"['North Indian', 'Chinese']",Marathahalli,                                         3.8                                     ,The Yummy Box                                     ,45
5614,300,"['Chinese', 'Momos']",Frazer Town,                                         3.8                                     ,King Kong                                     ,86
5615,800,"['North Indian', 'Chinese']",Banashankari,                                         2.8                                     ,Darbar                                     ,106
5616,550,"['South Indian', 'Seafood', 'North Indian', 'Chinese']",Vijay Nagar,                                         3.7                                     ,Karavali Fish Paradise                                     ,44
5617,200,"['Desserts', 'Juices', 'Fast Food']",Domlur,                                         3.0                                     ,Under The Tree                                     ,70
5618,600,"['Cafe', 'Fast Food', 'North Indian']",Jalahalli,                                         3.4                                     ,A Little Affair                                     ,10
5619,700,"['Biryani', 'North Indian', 'Chinese', 'Mughlai']",Hebbal,                                         3.3                                     ,Hyderabadi Bawarchi                                     ,516
5620,700,"['Biryani', 'North Indian', 'Chinese', 'Mughlai']",Hebbal,                                         3.3                                     ,Hyderabadi Bawarchi                                     ,516
5621,200,"['Chinese', 'North Indian']",Electronic City,                                         3.5                                     ,Maa Tara Hotel                                     ,74
5622,400,['Cafe'],Bellandur,                                         3.8                                     ,Puro Gusto                                     ,33
5623,400,"['Seafood', 'North Indian', 'Chinese']",Seshadripuram,                                         3.6                                     ,Hotel Karavali Beach                                     ,22
5624,300,"['South Indian', 'Chinese', 'Fast Food']",Banashankari,                                         3.4                                     ,Majaa Express                                     ,50
5625,350,"['Cafe', 'Beverages', 'Fast Food']",Yelahanka,                                         3.2                                     ,Holly Pipe Cafe                                     ,4
5626,650,"['North Indian', 'Chinese']",Bellandur,                                         2.7                                     ,Nalaas                                     ,32
5627,450,"['North Indian', 'Chinese', 'Hyderabadi']",Hennur,                                         3.4                                     ,Hotel Zam Zam                                     ,60
5628,150,['Street Food'],Rajarajeshwari Nagar,                                         3.6                                     ,Bangarpet Chats                                     ,25
5629,100,"['Beverages', 'Tea', 'Street Food']",Marathahalli,                                         3.7                                     ,Tandoori Cha                                     ,16
5630,500,"['South Indian', 'Andhra', 'North Indian']",Magadi Road,                                         3.4                                     ,Swathi                                     ,6
5631,"1,000","['Chinese', 'North Indian']",Rajarajeshwari Nagar,                                         3.4                                     ,Bambooz                                     ,10
5632,"1,500","['North Indian', 'South Indian']",Hotel La Classic,                                         3.0                                     ,Bengaluru Restaurant                                     ,23
5633,300,"['North Indian', 'Chinese', 'South Indian', 'Street Food']",RT Nagar,                                         3.6                                     ,Sri Krishna Delicacy                                     ,67
5634,450,"['North Indian', 'Chinese']",Yeshwantpur,                                         3.0                                     ,Annapurna Restaurant                                     ,13
5635,100,['South Indian'],Vijay Nagar,                                         3.5                                     ,By 2 Cafe                                     ,13
5636,500,"['Cafe', 'Healthy Food']",Indiranagar,                                         2.9                                     ,Give Me 5 Cafe                                     ,96
5637,550,"['North Indian', 'Chinese', 'Mughlai']",Electronic City,                                         3.7                                     ,Paratha House                                     ,67
